xxx-2	xxx-2
应变	标准载荷
%	MPa
0	1.579777236
1.56E-05	1.577561041
1.14E-05	1.572305961
8.4E-06	1.566675145
1.26E-05	1.561464598
6E-06	1.566803335
-1.2E-06	1.563737947
-1.26E-05	1.561062358
-2.82E-05	1.562379959
-1.26E-05	1.563349229
-1.26E-05	1.556995787
-1.86E-05	1.559030425
-3.06E-05	1.559987976
-4.56E-05	1.560879899
-4.86E-05	1.562976558
-4.56E-05	1.565704793
-4.56E-05	1.566756097
-4.86E-05	1.569565285
-4.02E-05	1.569473515
-3.36E-05	1.565041665
-4.26E-05	1.563018927
-4.56E-05	1.560394903
-5.46E-05	1.557135156
-3.66E-05	1.558889794
-5.46E-05	1.552773261
-4.56E-05	1.553673117
-4.56E-05	1.587233907
-4.56E-05	1.668791046
-3E-05	1.788013948
4.5E-05	1.994382615
0.000198	2.288412694
0.001367399	2.70535128
0.002128799	3.295933415
-0.002846998	4.199765335
-0.01584119	5.850213452
-0.031958979	9.282473524
-0.036359974	15.74287591
-0.011468393	24.52834692
0.023020189	29.30096267
0.041284179	34.02587071
0.087916777	38.29740854
0.172959585	42.17630551
0.245635845	45.59215687
0.297684092	48.3086223
0.312685296	50.17984111
0.310546905	51.63400558
0.307677109	51.2748507
0.309106298	50.72373422
0.306634903	50.62511677
0.307723898	50.56633171
0.305648502	50.52430117
0.307261311	50.48241486
0.306399707	50.44285365
0.30637091	50.41577178
0.306431502	50.39055346
0.305747502	50.36585438
0.306025296	50.34524009
0.3054199	50.32614317
0.305877104	50.30428267
0.305463709	50.28367414
0.305611901	50.26641768
0.305574108	50.25037857
0.305618495	50.23725304
0.305683911	50.22438714
0.305511095	50.21718684
0.30555971	50.20605755
0.30539291	50.19611099
0.305479895	50.18359126
0.305425301	50.17141192
0.305443909	50.14792443
0.305486508	50.13418157
0.305440295	50.12019062
0.30543251	50.10870939
0.305326898	50.19619754
0.305361096	50.81511675
0.30538151	51.91129177
0.307102911	53.28250867
0.327772349	54.92475765
0.342984758	55.82512285
0.360554568	56.69737921
0.379757024	57.46387554
0.400977246	58.08209665
0.422424898	58.58204376
0.440538339	59.00247035
0.457095355	59.32835273
0.469402	59.57784742
0.482211411	59.84245233
0.484420024	59.84750061
0.48715122	59.69852152
0.486742631	59.61273537
0.486851223	59.77717662
0.487124845	60.11961737
0.496603064	60.66287584
0.517327115	61.3881955
0.530318916	61.79484461
0.544790365	62.1860604
0.559942797	62.56180249
0.576175265	62.93933889
0.591369718	63.3080307
0.606619939	63.65792559
0.620649792	63.98020206
0.634377226	64.28371624
0.646019056	64.5548118
0.656763315	64.79903896
0.67400679	65.20515151
0.687590837	65.54345555
0.698594823	65.84696973
0.710611716	66.16269786
0.723835751	66.52256239
0.74047558	66.94071581
0.7602337	67.40233637
0.771267712	67.64410574
0.783222765	67.89824485
0.794553831	68.15293205
0.806450099	68.41474454
0.818511918	68.66948944
0.829873011	68.92207656
0.841719434	69.16876729
0.8533445	69.41022511
0.865385905	69.64036902
0.876441002	69.86284531
0.88670224	70.07754436
0.906274319	70.48553199
0.923740417	70.86093945
0.940978527	71.2140537
0.957726389	71.56690833
0.974699259	71.92902872
0.992378965	72.29694165
1.01143986	72.68810552
1.021592543	72.89748512
1.041749641	73.3112826
1.051915511	73.51827941
1.062624976	73.73064183
1.073257625	73.94463701
1.083860919	74.15698789
1.093939766	74.3623808
1.104499251	74.56142153
1.124128923	74.95386045
1.143491045	75.34176457
1.162458956	75.72108372
1.181256473	76.09411417
1.200707406	76.47241213
1.210768297	76.66550454
1.230692044	77.036908
1.249955744	77.42077926
1.269289702	77.80782373
1.288576275	78.18068109
1.298661679	78.3664809
1.317958981	78.74084986
1.33689642	79.11862857
1.356450468	79.47980854
1.376339495	79.83892304
1.386597157	80.02583058
1.406336129	80.38996451
1.42585665	80.74638467
1.436136514	80.91928396
1.455058903	81.28535643
1.474637091	81.65150967
1.494267434	82.01187037
1.514221728	82.37344843
1.534062177	82.74466149
1.544326395	82.92564957
1.564298868	83.28076006
1.583548188	83.63971878
1.603681445	83.9865097
1.623361558	84.33665268
1.642913967	84.68239356
1.662252098	85.04199846
1.682238877	85.39994753
1.692404151	85.58196834
1.703044176	85.76323912
1.713431478	85.9411463
1.723451465	86.12076124
1.743075252	86.47579673
1.753148735	86.64909411
1.772457659	86.98770393
1.792376041	87.32143856
1.811682433	87.65701942
1.831343323	87.99719276
1.841545254	88.17203059
1.861675531	88.51807725
1.871843189	88.69094192
1.881967187	88.8664317
1.892466694	89.03993101
1.902701557	89.21229374
1.923120916	89.550217
1.942632645	89.88853835
1.961860359	90.22498462
1.981164366	90.55890964
2.001320422	90.89661943
2.021666616	91.23893902
2.031769603	91.40213983
2.041872591	91.5608347
2.061255127	91.88918642
2.071259022	92.05402577
2.09101066	92.3866065
2.101446092	92.55377094
2.111518383	92.72091807
2.130892575	93.05049292
2.150595635	93.38875657
2.170514613	93.72766064
2.180853337	93.89645784
2.19120115	94.06635123
2.201470286	94.22813276
2.211564183	94.39318558
2.231843174	94.72063149
2.251341641	95.04660042
2.261655778	95.20564146
2.281609029	95.51682902
2.301256359	95.84288449
2.311660498	96.00421023
2.321867794	96.16438785
2.331944406	96.32885795
2.342478037	96.48860863
2.362679243	96.80532334
2.382415235	97.12560935
2.392687947	97.27674622
2.412616014	97.58188161
2.432085723	97.88995943
2.451386154	98.20454521
2.470903248	98.51163068
2.491545975	98.82317018
2.501885891	98.9776995
2.512286007	99.13239036
2.522478104	99.28622734
2.542226911	99.59555137
2.552486956	99.74769212
2.572388649	100.0470119
2.582524121	100.1990257
2.602231503	100.507392
2.621890008	100.8132428
2.641948462	101.1103241
2.661845386	101.4139132
2.671870291	101.5697234
2.682168782	101.724045
2.692243457	101.872701
2.702317834	102.0143182
2.712646425	102.1625358
2.732541859	102.4519898
2.742616236	102.599238
2.762193978	102.8938153
2.77225256	103.0385711
2.792364657	103.3272751
2.812435031	103.6236294
2.822793722	103.7719507
2.832900882	103.9191528
2.852684259	104.2074299
2.872218788	104.4885758
2.891980708	104.7734489
2.902345955	104.9182393
2.921744883	105.2060894
2.941163182	105.5040937
2.961376905	105.7989133
2.971601486	105.949104
2.982261479	106.1028602
2.992285788	106.2484122
3.003074527	106.3921757
3.022665977	106.6816643
3.032719791	106.8237893
3.052359223	107.0960157
3.071683943	107.3793425
3.09147954	107.6652194
3.111355901	107.9455
3.121359944	108.0894596
3.131572306	108.2341693
3.151659369	108.5272235
3.171921074	108.814462
3.191880584	109.0969119
3.212133348	109.3853735
3.222240508	109.5262061
3.241935968	109.8013634
3.261193931	110.0946483
3.281301856	110.3663323
3.302035332	110.648136
3.312259614	110.7910802
3.32226485	110.9252895
3.342159986	111.2008506
3.362119496	111.4673652
3.381969035	111.7480727
3.4016487	112.0311111
3.421096206	112.3084838
3.431184292	112.445647
3.441257179	112.5890182
3.461181819	112.8661832
3.471585512	113.0037965
3.492074609	113.2723304
3.512091041	113.5401028
3.522186875	113.6701349
3.54208231	113.9372149
3.561219573	114.2057142
3.571285307	114.3438583
3.590970039	114.6206656
3.601377904	114.7554172
3.611671031	114.8900419
3.622382581	115.0268243
3.632451296	115.1619452
3.642982543	115.293812
3.653030396	115.4321291
3.672487736	115.6976052
3.682737052	115.8311452
3.702835739	116.0895018
3.722608089	116.3587281
3.741633296	116.6363085
3.761386275	116.8951613
3.771395087	117.0293475
3.78146559	117.1583873
3.792281449	117.2933235
3.812611699	117.5566418
3.832684755	117.8151946
3.842877746	117.9404035
3.852974772	118.0708049
3.872667253	118.3251921
3.892117143	118.5787831
3.911870718	118.8390667
3.921948075	118.9647717
3.932203948	119.0949655
3.942254186	119.2243284
3.952689767	119.3528951
3.962740004	119.4818657
3.972801566	119.604686
3.983286917	119.7328028
4.003371596	119.9831398
4.023606479	120.2325537
4.033643603	120.3528009
4.04366523	120.4837446
4.063512385	120.7354317
4.082806408	120.9880419
4.102677107	121.2405252
4.113360345	121.3656302
4.123607278	121.4953277
4.133888185	121.6247022
4.153940678	121.8715199
4.173459709	122.1121757
4.193354249	122.3567664
4.213300049	122.6110151
4.23286289	122.8556981
4.252638221	123.103358
4.262904525	123.2276669
4.282904863	123.472996
4.293238223	123.5918816
4.313436449	123.8217717
4.323796928	123.9439228
4.333934188	124.0605698
4.343993366	124.1750475
4.363891184	124.4083992
4.383112192	124.6415086
4.402614832	124.8729218
4.422357976	125.1079467
4.442724288	125.3465601
4.452930391	125.4608532
4.463525712	125.5834312
4.473873377	125.7032745
4.484068155	125.8227601
4.503566921	126.0643276
4.514007866	126.1796938
4.533797503	126.4141763
4.543974996	126.5303272
4.563443065	126.7607595
4.582724273	127.0010692
4.602545202	127.2372942
4.612725079	127.3537681
4.622934759	127.4731268
4.633284509	127.5887007
4.643346667	127.7051515
4.65338558	127.8250756
4.673332572	128.0591773
4.683352411	128.1732396
4.702922404	128.4088415
4.722667038	128.6418586
4.742680788	128.8716678
4.762516618	129.1041195
4.772900045	129.2197973
4.79306519	129.4405831
4.803361595	129.5495221
4.82303977	129.7705503
4.842616022	130.0022519
4.85289067	130.1107179
4.872559905	130.3327845
4.892483354	130.5603091
4.911914766	130.7890568
4.931342304	131.0272549
4.951558709	131.2663991
4.961895049	131.3827807
4.972451329	131.5014355
4.98259753	131.620298
5.00256896	131.8582653
5.022469759	132.0801358
5.042032003	132.2969292
5.052075982	132.4113377
5.062205791	132.5269808
5.082029104	132.7491974
5.101976991	132.9673639
5.111992955	133.0794069
5.132001042	133.3128164
5.142230392	133.4279979
5.162186623	133.6502492
5.172604322	133.7612075
5.192611217	133.9878551
5.202892423	134.0960903
5.222791433	134.3121336
5.242152214	134.5317656
5.252358913	134.6421585
5.271648765	134.8594365
5.281855464	134.9663446
5.292117596	135.0819416
5.312356949	135.3070084
5.32240212	135.4186129
5.332556367	135.5280481
5.351885557	135.7515802
5.36193192	135.8577729
5.381863117	136.0786395
5.392242074	136.1866901
5.402821302	136.2992292
5.422530174	136.5177534
5.442243218	136.7367853
5.462113619	136.9534749
5.482221246	137.1650065
5.492478609	137.2721916
5.512589812	137.4785422
5.532419682	137.6857352
5.552088618	137.8886703
5.571764112	138.1059829
5.591296554	138.3194185
5.611259341	138.5411851
5.621305108	138.6548782
5.631527305	138.7623056
5.641762018	138.8735985
5.652264357	138.989184
5.662388206	139.0944305
5.67273736	139.2024695
5.683037043	139.3080738
5.703169107	139.5173207
5.713287592	139.6150554
5.723524094	139.7137363
5.743745565	139.9135213
5.763189197	140.1126024
5.782245994	140.317326
5.80190599	140.5265383
5.822356939	140.7431355
5.832651854	140.8533208
5.842773318	140.9636329
5.853144526	141.0691218
5.873061419	141.281715
5.893098116	141.4898888
5.912948251	141.6954778
5.933027864	141.8968898
5.952547789	142.1051328
5.972251296	142.3104911
